                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    183,                0.47888,                0.36357,                0.98714,                0.55003,                0.46144,                0.44854,                0.33905,                 1.2985,                 1.7756,                 1.5234,              0.0001101,              0.0001101,              0.0001101
                    184,                0.48776,                0.36889,                0.99162,                0.56059,                 0.4527,                 0.4466,                0.34048,                 1.2897,                 1.7885,                 1.5096,              0.0001046,              0.0001046,              0.0001046
                    185,                0.48432,                0.37326,                0.99331,                0.58137,                0.43846,                0.44429,                0.34046,                 1.2952,                 1.8038,                 1.5116,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    186,                0.49456,                0.37774,                0.99967,                0.59906,                0.43294,                0.44489,                0.34152,                 1.2904,                 1.7945,                 1.5059,             9.3602e-05,             9.3602e-05,             9.3602e-05
                    187,                0.50316,                0.38441,                0.99713,                0.57282,                0.45679,                0.44925,                0.34337,                 1.2904,                 1.7283,                 1.5149,             8.8102e-05,             8.8102e-05,             8.8102e-05
                    188,                0.49719,                0.37988,                 1.0005,                0.55869,                0.46786,                0.45251,                0.34439,                 1.2874,                 1.7166,                 1.5087,             8.2603e-05,             8.2603e-05,             8.2603e-05
                    189,                0.50443,                 0.3872,                 1.0006,                 0.5441,                0.47246,                 0.4535,                0.34613,                 1.2868,                  1.751,                 1.5045,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    190,                0.49671,                0.37912,                 1.0016,                0.55935,                0.45859,                0.45191,                0.34316,                 1.2913,                 1.7475,                 1.5092,             7.1604e-05,             7.1604e-05,             7.1604e-05
                    191,                0.57392,                0.49049,                 1.0658,                0.57221,                0.44543,                0.44422,                0.33654,                 1.2825,                 1.7337,                 1.5057,             6.6105e-05,             6.6105e-05,             6.6105e-05
                    192,                0.51536,                 0.3724,                 1.0271,                  0.592,                 0.4433,                0.44368,                 0.3382,                 1.2897,                 1.6769,                 1.5248,             6.0605e-05,             6.0605e-05,             6.0605e-05
                    193,                0.49379,                0.34968,                  1.008,                0.58051,                0.46669,                 0.4506,                0.34045,                 1.2907,                 1.6453,                  1.518,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    194,                0.49265,                0.33961,                 1.0015,                0.60053,                0.46507,                0.45293,                0.34278,                 1.2858,                 1.6592,                 1.5095,             4.9606e-05,             4.9606e-05,             4.9606e-05
                    195,                0.48434,                0.33818,                 1.0025,                0.53901,                0.48518,                0.45436,                0.34249,                  1.279,                 1.6669,                 1.5097,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    196,                0.47387,                0.33399,                0.99223,                 0.5867,                0.46843,                0.45528,                0.34337,                 1.2788,                 1.6416,                 1.5019,             3.8607e-05,             3.8607e-05,             3.8607e-05
                    197,                0.48404,                0.34383,                 1.0043,                0.55763,                  0.471,                0.45231,                0.34421,                 1.2778,                 1.6665,                 1.4967,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    198,                0.47017,                0.32868,                0.99139,                0.58072,                0.46279,                0.45342,                0.34585,                 1.2742,                  1.656,                 1.4991,             2.7608e-05,             2.7608e-05,             2.7608e-05
                    199,                0.46864,                 0.3301,                0.99679,                0.60083,                0.45638,                0.45591,                 0.3456,                 1.2834,                 1.6596,                 1.5145,             2.2109e-05,             2.2109e-05,             2.2109e-05
                    200,                0.45987,                0.32477,                0.99047,                0.55731,                0.47171,                0.45484,                0.34422,                 1.2816,                 1.6535,                 1.5151,             1.6609e-05,             1.6609e-05,             1.6609e-05
